epoch,acc_top5,accuracy,loss,lr,val_acc_top5,val_accuracy,val_loss
0,0.5074495077133179,0.2752091884613037,3.435685396194458,1e-05,0.7794356942176819,0.5166268348693848,2.002225399017334
1,0.6844322681427002,0.41366899013519287,2.5238752365112305,1e-05,0.8170572519302368,0.5642914175987244,1.7830047607421875
2,0.7246894836425781,0.45367589592933655,2.3030447959899902,1e-05,0.8321377038955688,0.5908178091049194,1.6723712682724
3,0.748814046382904,0.4824310541152954,2.159902572631836,1e-05,0.8404272198677063,0.6032839417457581,1.6079299449920654
4,0.7659121751785278,0.5003754496574402,2.062148094177246,1e-05,0.8492268323898315,0.6149529814720154,1.5585362911224365
5,0.7779505848884583,0.5136355757713318,1.9897377490997314,1e-05,0.855284571647644,0.6214251518249512,1.5241950750350952
6,0.7891129851341248,0.5269196033477783,1.920949935913086,1e-05,0.8577076196670532,0.6307986378669739,1.4917399883270264
7,0.797313392162323,0.5368781089782715,1.8721283674240112,1e-05,0.860832154750824,0.6362506151199341,1.4697366952896118
8,0.804357647895813,0.5479987859725952,1.820970892906189,1e-05,0.8636059165000916,0.6401402950286865,1.4551997184753418
9,0.8111993074417114,0.5556926131248474,1.775604009628296,1e-05,0.8662840723991394,0.6448588967323303,1.4337772130966187
10,0.817141056060791,0.5640062689781189,1.737579584121704,1e-05,0.8688346743583679,0.6453052759170532,1.4205883741378784
11,0.8239529132843018,0.5707823634147644,1.7011502981185913,1e-05,0.871002733707428,0.6509485244750977,1.4093714952468872
12,0.8278743028640747,0.5764857530593872,1.6670124530792236,1e-05,0.8728200197219849,0.6512354612350464,1.3944705724716187
13,0.8311759233474731,0.5821294784545898,1.6425801515579224,1e-05,0.8737446069717407,0.6545512676239014,1.3924574851989746
14,0.8365277051925659,0.5875646471977234,1.6150593757629395,1e-05,0.8756894469261169,0.6587597727775574,1.3738629817962646
15,0.8413132429122925,0.592892587184906,1.583486557006836,1e-05,0.8755938410758972,0.658632218837738,1.3679026365280151
16,0.844090461730957,0.599168062210083,1.5617601871490479,1e-05,0.8784313797950745,0.6618523597717285,1.3598326444625854
17,0.847672164440155,0.6041979789733887,1.5356991291046143,1e-05,0.8773473501205444,0.663701593875885,1.3537935018539429
18,0.8510751128196716,0.6081551313400269,1.513014316558838,1e-05,0.8790052533149719,0.6662521958351135,1.34548020362854
19,0.8553958535194397,0.6136499047279358,1.486043930053711,1e-05,0.8791009187698364,0.6699824929237366,1.336208701133728
20,0.8572731018066406,0.6192340850830078,1.4679285287857056,1e-05,0.8806312680244446,0.6697273850440979,1.332507848739624
21,0.8622732162475586,0.6223688125610352,1.4468064308166504,1e-05,0.8804718852043152,0.671225905418396,1.3295453786849976
22,0.8643352389335632,0.623620331287384,1.4315259456634521,1e-05,0.881396472454071,0.6728838086128235,1.3240827322006226
23,0.8671243786811829,0.6301401853561401,1.4088071584701538,1e-05,0.8829905986785889,0.6713533997535706,1.3275827169418335
24,0.8682447671890259,0.6326611042022705,1.3923470973968506,1e-05,0.8826717734336853,0.6730750799179077,1.3168803453445435
25,0.8714867830276489,0.6378816962242126,1.3710330724716187,1e-05,0.8828949332237244,0.673872172832489,1.318595290184021
26,0.8742520809173584,0.6405754685401917,1.3571778535842896,1e-05,0.884712278842926,0.6779531240463257,1.3131673336029053
27,0.8767074346542358,0.6447948813438416,1.3406285047531128,1e-05,0.8839470744132996,0.6751793622970581,1.3139009475708008
28,0.8795143961906433,0.6485494375228882,1.3243833780288696,1e-05,0.886274516582489,0.677666187286377,1.3060338497161865
29,0.8809685707092285,0.6503313779830933,1.3098262548446655,1e-05,0.8855412006378174,0.6774749159812927,1.3074108362197876
30,0.8837457299232483,0.6551288366317749,1.2919971942901611,1e-05,0.8852861523628235,0.6795472502708435,1.3066540956497192
31,0.8861891627311707,0.6585198640823364,1.2751548290252686,1e-05,0.8859875798225403,0.677666187286377,1.3064337968826294
32,0.888775646686554,0.6627750396728516,1.2578296661376953,1e-05,0.8856687545776367,0.6796748042106628,1.304177165031433
33,0.8903430104255676,0.6659812927246094,1.2449928522109985,1e-05,0.8869759440422058,0.6803762316703796,1.305539608001709
34,0.8916422128677368,0.6679539680480957,1.2363039255142212,1e-05,0.8872947692871094,0.6813008189201355,1.3046084642410278
35,0.8931500315666199,0.6704689264297485,1.2229154109954834,1e-05,0.8869121670722961,0.6800255179405212,1.3050880432128906
36,0.8950570821762085,0.6718634366989136,1.214469313621521,1e-05,0.8881236910820007,0.6826398968696594,1.2992550134658813
37,0.8972323536872864,0.6753557920455933,1.1965625286102295,1e-05,0.8887932300567627,0.6830543875694275,1.3008445501327515
38,0.8985017538070679,0.6776800155639648,1.185012936592102,1e-05,0.888729453086853,0.6843615770339966,1.3013758659362793
39,0.9011001586914062,0.682596743106842,1.1700563430786133,1e-05,0.8887613415718079,0.683436930179596,1.2940807342529297
