epoch,acc_top5,accuracy,loss,lr,val_acc_top5,val_accuracy,val_loss
0,0.2691740393638611,0.10582596063613892,4.281371593475342,1e-05,0.6608206629753113,0.3663136959075928,2.722163677215576
1,0.5797074437141418,0.3002704083919525,2.9076530933380127,1e-05,0.8107213973999023,0.5284579992294312,1.8728967905044556
2,0.7091322541236877,0.4194321632385254,2.3248095512390137,1e-05,0.8534083366394043,0.5959629416465759,1.5627888441085815
3,0.7769788503646851,0.4886922240257263,1.9858230352401733,1e-05,0.8792190551757812,0.6412971615791321,1.3759342432022095
4,0.813974916934967,0.5357669591903687,1.7688205242156982,1e-05,0.8997352719306946,0.6614824533462524,1.259357213973999
5,0.8376966714859009,0.568092405796051,1.6146669387817383,1e-05,0.9056916236877441,0.6810059547424316,1.1840898990631104
6,0.8525073528289795,0.596853494644165,1.5062003135681152,1e-05,0.911316990852356,0.7048312425613403,1.11111581325531
7,0.8691617250442505,0.6206367015838623,1.402197241783142,1e-05,0.9179351329803467,0.710125744342804,1.0614042282104492
8,0.8821902871131897,0.63974928855896,1.3175721168518066,1e-05,0.9209132790565491,0.7276638150215149,1.0179767608642578
9,0.8937438726425171,0.6585545539855957,1.251184344291687,1e-05,0.9232296347618103,0.7326273918151855,0.9996585249900818
10,0.9027777910232544,0.6766223907470703,1.1793972253799438,1e-05,0.9305095672607422,0.7365982532501221,0.971584141254425
11,0.9049286842346191,0.688544750213623,1.132896900177002,1e-05,0.9324950575828552,0.7438782453536987,0.9479814171791077
12,0.918633222579956,0.6962881088256836,1.0686604976654053,1e-05,0.9348113536834717,0.7438782453536987,0.9273719787597656
13,0.9209685325622559,0.7048918604850769,1.0534175634384155,1e-05,0.9351422786712646,0.7524818181991577,0.9029961824417114
14,0.9239798188209534,0.7165683507919312,1.007217288017273,1e-05,0.9374586343765259,0.7574453949928284,0.8918793201446533
15,0.9279129505157471,0.7262782454490662,0.9785909652709961,1e-05,0.9401059150695801,0.7567836046218872,0.8784388303756714
16,0.931907594203949,0.7362954616546631,0.9358822107315063,1e-05,0.938120424747467,0.7571144700050354,0.8753650188446045
17,0.9354104995727539,0.7397984266281128,0.9164981842041016,1e-05,0.938120424747467,0.7604235410690308,0.8716241121292114
18,0.9390978217124939,0.7520895004272461,0.8793354034423828,1e-05,0.9414294958114624,0.7581071853637695,0.8544681072235107
19,0.9431538581848145,0.7553465962409973,0.8463680148124695,1e-05,0.9454004168510437,0.7643944621086121,0.8428027629852295
20,0.9470870494842529,0.7577433586120605,0.827603280544281,1e-05,0.9430840611457825,0.7710126042366028,0.8299387693405151
21,0.94856196641922,0.768866777420044,0.805287778377533,1e-05,0.947054922580719,0.7680343985557556,0.8288701772689819
22,0.954154372215271,0.7798057794570923,0.76214599609375,1e-05,0.9450694918632507,0.7706816792488098,0.8173934817314148
23,0.9540314674377441,0.7833701968193054,0.7441637516021729,1e-05,0.9480476379394531,0.7703507542610168,0.826721727848053
24,0.9560595154762268,0.7886553406715393,0.7286263704299927,1e-05,0.9477167725563049,0.771343469619751,0.8183822631835938
25,0.9567354917526245,0.7920968532562256,0.7171472311019897,1e-05,0.9487094879150391,0.7693580389022827,0.8212877511978149
26,0.957841694355011,0.7949852347373962,0.6998170614242554,1e-05,0.9490403532981873,0.7726671099662781,0.8120139241218567
27,0.9618362784385681,0.7985496520996094,0.6775054931640625,1e-05,0.947054922580719,0.7822633981704712,0.810366690158844
28,0.9650934338569641,0.8094272613525391,0.6469788551330566,1e-05,0.9500330686569214,0.78160160779953,0.793616533279419
29,0.963003933429718,0.8059242963790894,0.6550593972206116,1e-05,0.9490403532981873,0.7878888249397278,0.7995145916938782
30,0.9674286842346191,0.8158800601959229,0.6294023394584656,1e-05,0.9483785629272461,0.7829251885414124,0.8011159300804138
31,0.967121422290802,0.8149582147598267,0.6299497485160828,1e-05,0.9516876339912415,0.7855724692344666,0.801612377166748
32,0.9670599699020386,0.8209808468818665,0.6037312150001526,1e-05,0.9506949186325073,0.7868961095809937,0.79085373878479
33,0.9698254466056824,0.8238692283630371,0.5936360359191895,1e-05,0.9503639936447144,0.7872269749641418,0.7921290993690491
34,0.9715462327003479,0.826941967010498,0.5817753672599792,1e-05,0.9493712782859802,0.7888815402984619,0.7896614670753479
35,0.9728367924690247,0.8289700150489807,0.5683186054229736,1e-05,0.9460622072219849,0.790205180644989,0.7989162802696228
36,0.9758480787277222,0.836959183216095,0.5540737509727478,1e-05,0.947385847568512,0.7888815402984619,0.7894834876060486
37,0.9757866263389587,0.8432276248931885,0.5276914238929749,1e-05,0.9490403532981873,0.7925215363502502,0.7839155793190002
38,0.9748033285140991,0.840646505355835,0.5345564484596252,1e-05,0.9497022032737732,0.7925215363502502,0.7815569639205933
39,0.9770157337188721,0.8430432677268982,0.520618200302124,1e-05,0.9497022032737732,0.7941760420799255,0.7767560482025146
40,0.9779375791549683,0.8471607565879822,0.5057505965232849,1e-05,0.9500330686569214,0.7961614727973938,0.7760955691337585
41,0.9778761267662048,0.8520771861076355,0.49199461936950684,1e-05,0.9500330686569214,0.7928524017333984,0.781129002571106
42,0.9812561273574829,0.8515241146087646,0.47955483198165894,1e-05,0.9510257840156555,0.7935142517089844,0.7806861996650696
43,0.9795968532562256,0.8533062934875488,0.48541495203971863,1e-05,0.9533421397209167,0.7918596863746643,0.7821753621101379
44,0.9815634489059448,0.8598819971084595,0.46151983737945557,1e-05,0.9523494243621826,0.7928524017333984,0.7782778739929199
45,0.9818092584609985,0.8574237823486328,0.4614027142524719,1e-05,0.9536730647087097,0.7951687574386597,0.7788175344467163
46,0.9827925562858582,0.8644911646842957,0.45018741488456726,1e-05,0.9543348550796509,0.7938451170921326,0.7708449959754944
47,0.9826695919036865,0.8684242963790894,0.4416838586330414,1e-05,0.9516876339912415,0.7915287613868713,0.7821036577224731
48,0.9845747351646423,0.8742010593414307,0.4162633717060089,1e-05,0.9530112743377686,0.7918596863746643,0.7826623916625977
49,0.9838986992835999,0.8706981539726257,0.4260513186454773,1e-05,0.9526803493499756,0.7908669710159302,0.7810797691345215
50,0.9849434494972229,0.8686086535453796,0.420707106590271,1e-05,0.9523494243621826,0.7938451170921326,0.7905583381652832
